RoundID,Date,Sequence,MatchID,Home,Away,HT,FT
2018_ITA_Serie_A_1,8/18/2018,1,2018_ITA_Serie_A_1_Chi_Juv,Chievo,Juventus,1_1,2_3
2018_ITA_Serie_A_1,8/18/2018,2,2018_ITA_Serie_A_1_Laz_Nap,Lazio,Napoli,1_1,1_2
2018_ITA_Serie_A_1,8/19/2018,3,2018_ITA_Serie_A_1_Tor_Rom,Torino,Roma,0_0,0_1
2018_ITA_Serie_A_1,8/19/2018,4,2018_ITA_Serie_A_1_Bol_Spa,Bologna,Spal,0_0,0_1
2018_ITA_Serie_A_1,8/19/2018,5,2018_ITA_Serie_A_1_Emp_Cag,Empoli,Cagliari,1_0,2_0
2018_ITA_Serie_A_1,8/19/2018,6,2018_ITA_Serie_A_1_Par_Udi,Parma,Udinese,1_0,2_2
2018_ITA_Serie_A_1,8/19/2018,7,2018_ITA_Serie_A_1_Ata_Fro,Atalanta,Frosinone,1_0,4_0
2018_ITA_Serie_A_1,8/20/2018,8,2018_ITA_Serie_A_1_Sas_Int,Sassuolo,Inter,1_0,1_0
2018_ITA_Serie_A_1,9/19/2018,9,2018_ITA_Serie_A_1_Sam_Fio,Sampdoria,Fiorentina,_,_
2018_ITA_Serie_A_1,10/31/2018,10,2018_ITA_Serie_A_1_Mil_Gen,Milan,Genoa,_,_
2018_ITA_Serie_A_2,8/25/2018,1,2018_ITA_Serie_A_2_Juv_Laz,Juventus,Lazio,1_0,2_0
2018_ITA_Serie_A_2,8/25/2018,2,2018_ITA_Serie_A_2_Nap_Mil,Napoli,Milan,0_1,3_2
2018_ITA_Serie_A_2,8/26/2018,3,2018_ITA_Serie_A_2_Spa_Par,Spal,Parma,0_0,1_0
2018_ITA_Serie_A_2,8/26/2018,4,2018_ITA_Serie_A_2_Int_Tor,Inter,Torino,2_0,2_2
2018_ITA_Serie_A_2,8/26/2018,5,2018_ITA_Serie_A_2_Fro_Bol,Frosinone,Bologna,0_0,0_0
2018_ITA_Serie_A_2,8/26/2018,6,2018_ITA_Serie_A_2_Cag_Sas,Cagliari,Sassuolo,1_0,2_2
2018_ITA_Serie_A_2,8/26/2018,7,2018_ITA_Serie_A_2_Fio_Chi,Fiorentina,Chievo,2_0,6_1
2018_ITA_Serie_A_2,8/26/2018,8,2018_ITA_Serie_A_2_Gen_Emp,Genoa,Empoli,2_0,2_1
2018_ITA_Serie_A_2,8/26/2018,9,2018_ITA_Serie_A_2_Udi_Sam,Udinese,Sampdoria,1_0,1_0
2018_ITA_Serie_A_2,8/27/2018,10,2018_ITA_Serie_A_2_Rom_Ata,Roma,Atalanta,1_3,3_3
2018_ITA_Serie_A_3,8/31/2018,1,2018_ITA_Serie_A_3_Mil_Rom,Milan,Roma,1_0,2_1
2018_ITA_Serie_A_3,9/1/2018,2,2018_ITA_Serie_A_3_Bol_Int,Bologna,Inter,_,_
2018_ITA_Serie_A_3,9/1/2018,3,2018_ITA_Serie_A_3_Par_Juv,Parma,Juventus,_,_
2018_ITA_Serie_A_3,9/2/2018,4,2018_ITA_Serie_A_3_Fio_Udi,Fiorentina,Udinese,_,_
2018_ITA_Serie_A_3,9/2/2018,5,2018_ITA_Serie_A_3_Ata_Cag,Atalanta,Cagliari,_,_
2018_ITA_Serie_A_3,9/2/2018,6,2018_ITA_Serie_A_3_Chi_Emp,Chievo,Empoli,_,_
2018_ITA_Serie_A_3,9/2/2018,7,2018_ITA_Serie_A_3_Laz_Fro,Lazio,Frosinone,_,_
2018_ITA_Serie_A_3,9/2/2018,8,2018_ITA_Serie_A_3_Sam_Nap,Sampdoria,Napoli,_,_
2018_ITA_Serie_A_3,9/2/2018,9,2018_ITA_Serie_A_3_Sas_Gen,Sassuolo,Genoa,_,_
2018_ITA_Serie_A_3,9/2/2018,10,2018_ITA_Serie_A_3_Tor_Spa,Torino,Spal,_,_
